"id","device_id","action","created_log_at","created_log_by","changed_fields","status","name","device_type","gateway_id","platform","version","area_id","location","mac_address","node_id","state_update_duration","online","settings","data","last_used_energy","used_energy","relay_id","expired_dim","expired_relay_state","amqp_modified_at"
401965,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,created,2019-11-18 10:01:14,,[],active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,1,{},"{""error"":0,""photo"":941}",0,,,,,2019-11-18 10:01:14
401966,prd_61a0fd30-a155-45a2-8580-86fb856ab272,created,2019-11-18 10:01:15,,[],active,RELAY_21000,RELAY,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b0016866afa",21000,30,1,"{""relay_type"":""relay_2ch""}","{""error"":0,""states"":[true,true,false,false]}",0,,,,,2019-11-18 10:01:15
401967,prd_edb03374-fccc-4236-80ce-bea02b1ceb77,created,2019-11-18 10:01:16,,[],active,LIGHT_20002,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b001c734b9a",20002,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:16
401968,prd_4d9cfe68-b01c-473b-a7b7-20ac7aac235e,created,2019-11-18 10:01:17,,[],active,PHOTO_200,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ac7d5",200,10,1,{},"{""error"":0,""photo"":322}",0,,,,,2019-11-18 10:01:17
401969,prd_ae12cd17-e1ca-4c4f-8560-11a5792bfc61,created,2019-11-18 10:01:22,,[],active,PHOTO_201,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ad1b6",201,10,1,{},"{""error"":0,""photo"":69}",0,,,,,2019-11-18 10:01:22
401970,prd_725d0578-b4d6-4d95-b822-10148f3cc534,created,2019-11-18 10:01:22,,[],active,LIGHT_20000,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",,POINT (0 0),"00124b001684fd28",20000,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:22
401971,prd_42d4427b-8932-4632-b030-2adf57b7d916,created,2019-11-18 10:01:22,,[],active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:22
401972,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,created,2019-11-18 10:01:23,,[],active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.619995"",""temperature"":""30.168991""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:23
401973,prd_07953215-259e-4790-9560-13cf5898d112,created,2019-11-18 10:01:26,,[],active,LIGHT_20001,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ac785",20001,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:26
401974,prd_a6ef2360-0745-457e-ab10-d016d4adf599,created,2019-11-18 10:01:32,,[],active,REPEATER_500,REPEATER,"74030b1220158e3b283e4af9",RF_868,"3.0.0_001",,POINT (0.0001 0.001),"00124b00168a9e00",500,0,1,"{""lane_id"":0,""hop_number"":0}","{""error"":0}",0,,,,,2019-11-18 10:01:32
401975,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:01:33,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.559998"",""temperature"":""30.168991""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:33
401976,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:01:45,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.559998"",""temperature"":""30.188995""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:45
401977,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,updated,2019-11-18 10:01:56,,"[""online""]",active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,0,{},"{""error"":0,""photo"":0}",0,,,,,2019-11-18 10:01:56
401978,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,updated,2019-11-18 10:01:57,,"[""online""]",active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,1,{},"{""error"":0,""photo"":941}",0,,,,,2019-11-18 10:01:57
401979,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:01:57,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.589996"",""temperature"":""30.188995""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:57
401980,prd_c1d29296-844c-4e71-8663-46e78a59c6a1,created,2019-11-18 10:02:06,,[],active,REPEATER_100,REPEATER,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0.1",,POINT (0 0),"00124b001c734889",100,100,1,"{""hop_number"":0,""lane_id"":0}","{""error"":0}",0,,,,,2019-11-18 10:02:06
401981,prd_a953bc3c-a807-4a5f-87b8-3fc568c6cda8,created,2019-11-18 10:02:08,,[],active,PHOTO_1,PHOTO,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0.2",,POINT (0 0),"00124b001c7348c8",1,100,1,,"{""is_error"":3,""photo"":""94""}",0,,,,,2019-11-18 10:02:08
401982,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:02:10,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.589996"",""temperature"":""30.179993""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:02:10
401983,prd_1e376c69-16d6-472f-9f23-ae3bbd8f7999,created,2019-11-18 10:02:13,,[],active,RELAY_20000,RELAY,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_002",,POINT (0 0),"00124b001685001f",20000,200,1,{},"{""relay_error"":false,""states"":[]}",0,,,,,2019-11-18 10:02:13
401984,prd_59edbf89-1928-4054-a433-a7f13ca3069d,created,2019-11-18 10:02:15,,[],active,REPEATER_101,REPEATER,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0.1",,POINT (0 0),"00124b00168a94cc",101,100,1,{},"{""error"":0}",0,,,,,2019-11-18 10:02:15
401985,prd_c6e80035-8bf6-436d-9a02-016f552d0f33,created,2019-11-18 10:02:15,,[],active,POWER_3P_1,POWER_3P,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0.2",,POINT (0 0),"00124b00168474fc",1,100,1,,"{""is_error"":255,""energy_1"":0,""power_1"":0,""volgate_rms_1"":0,""volgate_peak_1"":0,""volgate_thd_1"":0,""current_rms_1"":0,""current_thd_1"":0,""pf_1"":0,""frequency_1"":0,""phase_to_phase_1"":0,""energy_2"":0,""power_2"":0,""volgate_rms_2"":0,""volgate_peak_2"":0,""volgate_thd_2"":0,""current_rms_2"":0,""current_thd_2"":0,""pf_2"":0,""frequency_2"":0,""phase_to_phase_2"":0,""energy_3"":0,""power_3"":0,""volgate_rms_3"":0,""volgate_peak_3"":0,""volgate_thd_3"":0,""current_rms_3"":0,""current_thd_3"":0,""pf_3"":0,""frequency_3"":0,""phase_to_phase_3"":0}",0,,,,,2019-11-18 10:02:15
401986,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:02:21,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.629974"",""temperature"":""30.199997""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:02:21
401987,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:02:44,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.589996"",""temperature"":""30.209000""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:02:44
401988,prd_a953bc3c-a807-4a5f-87b8-3fc568c6cda8,updated,2019-11-18 10:03:08,,"[""data.photo""]",active,PHOTO_1,PHOTO,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0.2",,POINT (0 0),"00124b001c7348c8",1,100,1,null,"{""is_error"":3,""photo"":""93""}",0,,,,,2019-11-18 10:03:08
401989,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,updated,2019-11-18 10:03:55,,"[""online""]",active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20001,10,0,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":0,""script"":0,""sensors"":0}",0,,,,,2019-11-18 10:03:55
401990,prd_07953215-259e-4790-9560-13cf5898d112,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,LIGHT_20001,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ac785",20001,10,0,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:02:09
401991,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,0,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:02:06
401992,prd_4d9cfe68-b01c-473b-a7b7-20ac7aac235e,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,PHOTO_200,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ac7d5",200,10,0,{},"{""error"":0,""photo"":322}",0,,,,,2019-11-18 10:01:59
401993,prd_61a0fd30-a155-45a2-8580-86fb856ab272,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,RELAY_21000,RELAY,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b0016866afa",21000,30,0,"{""relay_type"":""relay_2ch""}","{""error"":0,""states"":[true,true,false,false]}",0,,,,,2019-11-18 10:01:47
401994,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,0,{},"{""error"":0,""photo"":941}",0,,,,,2019-11-18 10:02:08
401995,prd_a6ef2360-0745-457e-ab10-d016d4adf599,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,REPEATER_500,REPEATER,"74030b1220158e3b283e4af9",RF_868,"3.0.0_001",,POINT (0.0001 0.001),"00124b00168a9e00",500,0,0,"{""lane_id"":0,""hop_number"":0}","{""error"":0}",0,,,,,2019-11-18 10:01:32
401996,prd_ae12cd17-e1ca-4c4f-8560-11a5792bfc61,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,PHOTO_201,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ad1b6",201,10,0,{},"{""error"":0,""photo"":69}",0,,,,,2019-11-18 10:02:05
401997,prd_edb03374-fccc-4236-80ce-bea02b1ceb77,updated,2019-11-18 10:04:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,LIGHT_20002,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b001c734b9a",20002,10,0,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:02:00
402005,prd_a6ef2360-0745-457e-ab10-d016d4adf599,updated,2019-11-18 10:04:48,,"[""online""]",active,REPEATER_500,REPEATER,"74030b1220158e3b283e4af9",RF_868,"3.0.0_001",,POINT (0.0001 0.001),"00124b00168a9e00",500,0,1,"{""lane_id"":0,""hop_number"":0}","{""error"":0}",0,,,,,2019-11-18 10:04:48
402006,prd_07953215-259e-4790-9560-13cf5898d112,updated,2019-11-18 10:04:51,,"[""online""]",active,LIGHT_20001,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ac785",20001,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:04:51
402007,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,updated,2019-11-18 10:04:51,,"[""online""]",active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,1,{},"{""error"":0,""photo"":941}",0,,,,,2019-11-18 10:04:51
402008,prd_4d9cfe68-b01c-473b-a7b7-20ac7aac235e,updated,2019-11-18 10:04:51,,"[""online"",""data.photo""]",active,PHOTO_200,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ac7d5",200,10,1,{},"{""error"":0,""photo"":327}",0,,,,,2019-11-18 10:04:51
402009,prd_edb03374-fccc-4236-80ce-bea02b1ceb77,updated,2019-11-18 10:04:53,,"[""online""]",active,LIGHT_20002,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b001c734b9a",20002,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:04:53
402010,prd_ae12cd17-e1ca-4c4f-8560-11a5792bfc61,updated,2019-11-18 10:04:56,,"[""online"",""data.photo""]",active,PHOTO_201,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ad1b6",201,10,1,{},"{""error"":0,""photo"":75}",0,,,,,2019-11-18 10:04:56
402011,prd_61a0fd30-a155-45a2-8580-86fb856ab272,updated,2019-11-18 10:05:00,,"[""online""]",active,RELAY_21000,RELAY,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b0016866afa",21000,30,1,"{""relay_type"":""relay_2ch""}","{""error"":0,""states"":[true,true,false,false]}",0,,,,,2019-11-18 10:05:00
402012,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-18 10:05:09,,"[""online""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:05:09
402013,prd_a953bc3c-a807-4a5f-87b8-3fc568c6cda8,updated,2019-11-18 10:06:13,,"[""data.photo""]",active,PHOTO_1,PHOTO,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0.2",,POINT (0 0),"00124b001c7348c8",1,100,1,null,"{""is_error"":3,""photo"":""94""}",0,,,,,2019-11-18 10:06:13
402014,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-18 10:06:58,,"[""online""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,0,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":0,""dimmers"":0,""sensors"":0}",0,,,,,2019-11-18 10:06:58
402015,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-18 10:06:59,,"[""online""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:06:59
402016,prd_07953215-259e-4790-9560-13cf5898d112,updated,2019-11-18 10:09:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,LIGHT_20001,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ac785",20001,10,0,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:07:02
402017,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-18 10:09:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,0,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:06:59
402018,prd_4d9cfe68-b01c-473b-a7b7-20ac7aac235e,updated,2019-11-18 10:09:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,PHOTO_200,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ac7d5",200,10,0,{},"{""error"":0,""photo"":327}",0,,,,,2019-11-18 10:07:01
402019,prd_61a0fd30-a155-45a2-8580-86fb856ab272,updated,2019-11-18 10:09:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,RELAY_21000,RELAY,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b0016866afa",21000,30,0,"{""relay_type"":""relay_2ch""}","{""error"":0,""states"":[true,true,false,false]}",0,,,,,2019-11-18 10:06:38
402020,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,updated,2019-11-18 10:09:20,usr_00000000-0000-0000-0000-000000000000,"[""online""]",active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,0,{},"{""error"":0,""photo"":941}",0,,,,,2019-11-18 10:06:59
